C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:33:38

 IdentList
----------

 # 	typed ident	            identifier             	          typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	-----------------------	---------------------------------------	---------	---------	---------	---------	---------	---------------	----	----
1  	hip 112209 	HD 215166                          	Double or Multiple Star	22 43 32.35561 -16 08 15.9296          	     ~   	9.384    	9.304    	9.036    	     ~   	F7V            	  25	   0
2  	hip 34860  	HD 55130                           	Double or Multiple Star	07 12 49.08903 +27 13 29.3970          	     ~   	8.88     	8.63     	7.37     	     ~   	F8V+F8V        	 117	   0
3  	hip 101292 	HD 195284A                         	High Proper Motion Star	20 31 52.7371641704 -40 54 06.064526877	     ~   	9.11     	8.34     	8.964    	     ~   	K0/2           	  36	   0
4  	hip 83409  	HD 153787                          	Double or Multiple Star	17 02 53.68693 -33 48 37.0313          	     ~   	     ~   	     ~   	     ~   	     ~   	F3/5(V)        	   9	   0
5  	hip 77269  	MCC 749                            	Double or Multiple Star	15 46 32.37024 +19 57 15.4457          	     ~   	     ~   	     ~   	9.776    	     ~   	K5V            	  35	   0
6  	hip 89113  	HD 167855A                         	Star                   	18 11 15.2386261677 +69 14 59.779878266	     ~   	9.54     	9.02     	9.185    	     ~   	G0             	  23	   0
7  	hip 108255 	BD+14 4697                         	Double or Multiple Star	21 55 53.49394 +15 36 18.5146          	     ~   	9.95     	9.59     	9.23     	     ~   	G5             	  13	   0
8  	hip 85770  	HD 315939                          	Double or Multiple Star	17 31 33.05370 -29 58 02.3264          	     ~   	     ~   	     ~   	     ~   	     ~   	F8             	  14	   0
9  	hip 19305  	HD 26301                           	Double or Multiple Star	04 08 17.16701 -32 51 24.4593          	     ~   	     ~   	     ~   	8.199    	     ~   	A7IV/V         	  15	   0
10 	hip 95662  	HD 182798                          	Double or Multiple Star	19 27 33.02446 -31 23 02.4028          	     ~   	     ~   	     ~   	9.45     	     ~   	G1V            	  15	   0
11 	hip 47834  	HD 84237A                          	High Proper Motion Star	09 45 00.7392502093 +43 13 43.372177202	     ~   	9.48     	8.99     	     ~   	     ~   	F5             	  23	   0
12 	hip 88726  	CD-43 12272                        	Double or Multiple Star	18 06 49.89312 -43 25 30.7964          	     ~   	5.17     	4.95     	     ~   	     ~   	A6V+A7V        	  49	   0
13 	hip 5583   	HD 7197                            	Double or Multiple Star	01 11 35.49097 -45 27 54.6544          	     ~   	     ~   	     ~   	     ~   	     ~   	F5IV/V         	   9	   0
14 	hip 795    	HD 531                             	Double or Multiple Star	00 09 51.64843 +08 27 11.4091          	     ~   	     ~   	     ~   	     ~   	     ~   	G6V+G7V        	  27	   0
15 	hip 89258  	V* R Pav                           	Mira Variable          	18 12 52.9474904088 -63 36 57.244568220	     ~   	13.86    	7.50     	     ~   	     ~   	M4.5e          	  48	   0
16 	hip 109595 	HD 210571                          	Double or Multiple Star	22 12 02.24628 -38 18 10.1685          	     ~   	     ~   	     ~   	     ~   	     ~   	F3V            	  27	   0
17 	hip 18429  	HD 24989                           	Double or Multiple Star	03 56 27.66118 -42 37 33.4432          	     ~   	10.205   	9.620    	9.689    	     ~   	G2/3V          	  12	   0
18 	hip 96836  	V* TT Cyg                          	Carbon Star            	19 40 57.0158460384 +32 37 05.756696400	     ~   	10.43    	10.20    	     ~   	     ~   	C-N5-          	 199	   0
