C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:22:38

 IdentList
----------

 # 	typed ident	            identifier             	         typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	 Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	----------------------	---------------------------------------	---------	---------	---------	---------	--------	---------------	----	----
1  	hip 41664  	V* RT Hya                          	LongPeriodV*          	08 29 41.1540717720 -06 19 07.635332964	     ~   	9.28     	7.00     	     ~   	     ~  	M7III          	  74	   0
2  	hip 75393  	V* RS Lib                          	Mira                  	15 24 19.7909986800 -22 54 39.843703260	     ~   	10.59    	7.00     	6.85     	     ~  	M7-8e          	 123	   0
3  	hip 71644  	V* RV Boo                          	AGB*                  	14 39 15.8615969712 +32 32 22.250745204	     ~   	9.50     	7.90     	     ~   	     ~  	M5-6IIIe       	  93	   0
4  	hip 84346  	V* V438 Oph                        	LongPeriodV*          	17 14 39.7815252576 +11 04 09.970384872	     ~   	10.53    	9.29     	     ~   	     ~  	M8             	  52	   0
5  	hip 28134  	V* ZZ Pic                          	LongPeriodV*          	05 56 47.9981067288 -59 25 21.174312540	     ~   	10.66    	9.40     	     ~   	     ~  	M4/5III        	  15	   0
6  	hip 78574  	V* X Her                           	AGB*                  	16 02 39.1730141112 +47 14 25.265335956	     ~   	7.64     	6.58     	     ~   	     ~  	M6III          	 234	   0
7  	hip 57917  	V* S Crt                           	LongPeriodV*          	11 52 45.0981904920 -07 35 48.077650032	     ~   	10.21    	9.14     	     ~   	     ~  	M6III          	  84	   0
8  	hip 82516  	V* S Her                           	S*                    	16 51 53.9188877832 +14 56 30.763623732	     ~   	9.69     	6.40     	7.03     	     ~  	M4-7.5Se       	 135	   0
9  	hip 57607  	V* V919 Cen                        	AGB*                  	11 48 39.2232025080 -35 59 12.920416044	     ~   	8.31     	7.05     	     ~   	     ~  	M7III          	  43	   0
10 	hip 4008   	V* VY Cas                          	LongPeriodV*          	00 51 26.0014485360 +62 55 14.872790748	     ~   	10.94    	9.62     	     ~   	     ~  	M6/7III        	  58	   0
11 	hip 112868 	V* AF Peg                          	LongPeriodV*          	22 51 23.1868468896 +18 07 07.819344084	     ~   	10.60    	9.47     	     ~   	     ~  	M5II-III       	  26	   0
12 	hip 74802  	V* RT Boo                          	Mira                  	15 17 14.7082315152 +36 21 33.437211804	     ~   	12.28    	11.37    	8.83     	     ~  	M6.5e          	  50	   0
13 	hip 113715 	V* VY And                          	C*                    	23 01 49.4660369856 +45 53 09.110166864	     ~   	13.26    	9.60     	     ~   	     ~  	C3,5J          	  59	   0
14 	hip 58107  	V* W Cen                           	Mira                  	11 55 01.3260078696 -59 15 13.535219196	     ~   	11.04    	7.60     	     ~   	     ~  	M5e            	  61	   0
15 	hip 28166  	V* BQ Ori                          	LongPeriodV*          	05 57 07.3863078960 +22 50 20.189878368	     ~   	9.646    	8.26     	     ~   	     ~  	M5IIIv         	  53	   0
16 	hip 112680 	V* ST Peg                          	LongPeriodV*          	22 49 04.5486293952 +27 21 28.763867592	     ~   	10.20    	8.85     	     ~   	     ~  	M3             	  24	   0
17 	hip 114930 	V* EO Peg                          	LongPeriodV*          	23 16 47.8923014969 +10 35 56.604537700	     ~   	9.44     	8.35     	     ~   	     ~  	M8             	  16	   0
18 	hip 108928 	V* TW Peg                          	AGB*                  	22 03 59.5129191840 +28 20 54.251069136	     ~   	8.66     	7.50     	     ~   	     ~  	M6-7III        	 130	   0
19 	hip 100605 	V* UU Dra                          	AGB*                  	20 24 03.5560473408 +75 15 13.586874948	     ~   	10.59    	9.32     	     ~   	     ~  	M8III          	  43	   0
20 	hip 115553 	V* RU Aqr                          	LongPeriodV*          	23 24 24.3076594008 -17 19 08.712059880	     ~   	10.47    	9.28     	     ~   	     ~  	M4/5III        	  35	   0
21 	hip 88832  	V* V529 Her                        	LongPeriodV*          	18 07 58.9960479528 +42 13 25.627582920	     ~   	10.53    	9.30     	     ~   	     ~  	~              	  23	   0
22 	hip 24055  	V* U Dor                           	OH/IR*                	05 10 08.8413498888 -64 19 04.255801500	     ~   	11.86    	8.10     	     ~   	     ~  	M8IIIe         	  60	   0
23 	hip 104252 	V* RS Cap                          	AGB*                  	21 07 15.4311630672 -16 25 21.462156804	     ~   	9.56     	8.36     	     ~   	     ~  	M6/7III        	  69	   0
24 	hip 57800  	V* RU Crt                          	LongPeriodV*          	11 51 06.4589026632 -11 12 28.190407860	     ~   	9.30     	8.13     	     ~   	     ~  	M4/5III        	  30	   0
25 	hip 47066  	V* X Hya                           	Mira                  	09 35 30.2667472344 -14 41 28.610073456	     ~   	10.02    	7.20     	9.24     	     ~  	M7-8+e         	 148	   0
26 	hip 95173  	V* T Sge                           	LongPeriodV*          	19 21 42.0463076232 +17 39 59.832051804	     ~   	11.00    	9.320    	     ~   	     ~  	M3-4II         	  50	   0
27 	hip 93820  	V* R Aql                           	OH/IR*                	19 06 22.2510922392 +08 13 48.012661776	8.06     	7.69     	6.09     	     ~   	     ~  	M6.5-9e        	 556	   2
28 	hip 101056 	V* RS Del                          	LongPeriodV*          	20 29 09.6943506384 +16 16 25.090943664	     ~   	9.57     	8.37     	     ~   	     ~  	M7             	  25	   0
29 	hip 11582  	V* R For                           	C*                    	02 29 15.3077617632 -26 05 55.646585700	     ~   	12.94    	7.50     	8.01     	     ~  	C4,3e          	 192	   0
30 	hip 70590  	V* RW Lup                          	Mira                  	14 26 21.2619651744 -44 09 11.198952936	     ~   	11.36    	9.90     	     ~   	     ~  	M3/5           	  27	   0
31 	hip 13092  	V* T Ari                           	Mira                  	02 48 19.7402010816 +17 30 33.774327288	     ~   	10.29    	7.50     	     ~   	     ~  	M6-8+e         	 116	   0
32 	hip 68815  	* tet Aps                          	LongPeriodV*          	14 05 19.8809399288 -76 47 48.342695604	8.10     	7.05     	5.50     	     ~   	     ~  	M6.5III:       	 121	   0
33 	hip 45058  	V* RS Cnc                          	S*                    	09 10 38.7970163421 +30 57 47.291122681	8.65     	7.62     	5.95     	3.06     	0.73    	M6S            	 309	   0
34 	hip 44666  	V* FY UMa                          	LongPeriodV*          	09 06 08.7110980368 +64 46 46.216843140	     ~   	11.39    	10.11    	     ~   	     ~  	M8             	  15	   0
