C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.27CEST09:59:15

 IdentList
----------

 # 	typed ident	            identifier             	             typ              	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	   spec. type    	#bib	#not
---	-----------	-----------------------------------	------------------------------	---------------------------------------	---------	---------	---------	---------	---------	-----------------	----	----
1  	hip 1204   	HD 1045                            	Star                          	00 15 04.0010742096 +52 38 22.569665784	     ~   	7.56     	7.67     	     ~   	     ~   	B9               	  11	   0
2  	hip 2524   	BD+68 32                           	Star                          	00 32 02.7468846864 +68 57 34.101081864	     ~   	9.20     	8.72     	     ~   	     ~   	B2               	  15	   0
3  	hip 2796   	HD 3147                            	Red Supergiant                	00 35 37.1729072640 +67 55 33.455837136	     ~   	9.03     	6.96     	     ~   	     ~   	K3Iab            	  31	   0
4  	hip 2816   	HD 3191                            	Star                          	00 35 50.8441094127 +61 27 35.317246697	8.57     	8.99     	8.60     	8.89     	     ~   	B1IV:nn          	  59	   0
5  	hip 3743   	BD+04 122                          	Star                          	00 48 02.4539569944 +05 06 12.733275600	     ~   	10.11    	8.99     	     ~   	     ~   	K2               	  15	   0
6  	hip 3945   	HD 5045                            	Blue Supergiant               	00 50 38.3868754296 -73 28 18.256667052	     ~   	11.02    	11.04    	     ~   	     ~   	B1.5Ia+          	  83	   0
7  	hip 6002   	HD 7586                            	Variable Star                 	01 17 11.9028199296 +60 16 29.546444856	     ~   	9.48     	9.3      	     ~   	     ~   	B7               	  18	   0
8  	hip 6171   	V* V765 Cas                        	Eclipsing Binary              	01 19 09.0531688632 +58 17 26.025576900	10.88    	11.06    	10.78    	     ~   	     ~   	~                	  33	   0
9  	hip 7048   	HD 9187                            	Double or Multiple Star       	01 30 50.5876758816 +23 10 35.513654808	     ~   	9.45     	8.21     	     ~   	     ~   	G5               	  13	   0
10 	hip 8313   	HD 236875                          	Star                          	01 47 12.7313960463 +57 44 41.923965256	     ~   	9.61     	9.57     	     ~   	     ~   	B3               	  16	   0
11 	hip 8415   	HD 10898                           	Star                          	01 48 35.0302399320 +58 27 28.207575972	7.23     	7.75     	7.40     	     ~   	     ~   	B2Ib             	  52	   0
